fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,price
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,41.6024
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3,39.6982
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,56.3398
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,46.59496
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3,56.09676
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,54.98428
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3,49.38413
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3,49.29115
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,55.59424
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3,50.838
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,48.9922
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,51.782
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,47.4928
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,69.9802
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,46.7928
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,45.6916
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,55.8814
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,48.1988
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,46.6895
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,46.2868
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,46.3916
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,59.1844
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4,52.59235
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,48.98695
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,51.20075
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,46.9943
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4,46.5973
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4,49.3934
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4,50.8886
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4,56.803
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4,55.8901
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,59.291
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,50.0916
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,47.994
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,58.5874
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4,59.18386
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4,56.48896
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,46.49508
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4,51.68728
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4,56.58551
8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4,46.79208
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4,48.39373
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,60.18671
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,62.08716
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4,47.98848
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,45.48842
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,71.38716
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4,49.39394
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,63.78464
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,58.68311
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4,48.9934
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,64.78698
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,49.89016
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4,59.58572
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,49.98956
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,53.98188
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4,59.4904
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,52.88992
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4,57.58944
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,53.38494
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4,53.39157
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4,56.68776
6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,47.23755
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,49.4934
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,51.7904
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,51.491
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,49.4934
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,49.3934
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,48.6892
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,59.0934
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,49.0877
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,59.0934
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,53.4829
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,47.2922
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,48.8958
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,48.9958
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,48.0904
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,51.1946
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,49.1898
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,48.7904
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,49.5865
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,49.6886
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,49.1898
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,49.7916
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,54.1874
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,50.9898
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,50.5871
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,59.0934
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,59.0934
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,53.5904
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,50.4886
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,48.491
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,48.3907
